structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,46.9116,123279275,154315078
tlx_btree,16777216,10,0,281.0483,123279275,161748656
alex,16777216,10,0,65.8079,123279275,111626920
clusterjump_d,16777216,10,1,47.0709,123279275,154315078
tlx_btree,16777216,10,1,284.7900,123279275,161748656
alex,16777216,10,1,65.4615,123279275,111626920
tlx_btree,16777216,10,2,281.3817,123279275,161748656
alex,16777216,10,2,64.9238,123279275,111626920
clusterjump_d,16777216,10,2,47.3454,123279275,154315078
clusterjump_d,16777216,10,3,46.9279,123279275,154315078
tlx_btree,16777216,10,3,281.4300,123279275,161748656
alex,16777216,10,3,65.2484,123279275,111626920
tlx_btree,16777216,10,4,282.4230,123279275,161748656
alex,16777216,10,4,65.0476,123279275,111626920
clusterjump_d,16777216,10,4,47.2225,123279275,154315078
