structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,88.9778,9312558633043297431,208141903
tlx_btree,16777216,50,0,330.3865,9312558633043297431,169623400
alex,16777216,50,0,98.6597,9312558633043297431,145805527
clusterjump_d,16777216,50,1,89.2503,9312558633043297431,208141903
tlx_btree,16777216,50,1,329.0779,9312558633043297431,169623400
alex,16777216,50,1,98.5949,9312558633043297431,145805527
tlx_btree,16777216,50,2,327.8250,9312558633043297431,169623400
alex,16777216,50,2,98.4323,9312558633043297431,145805527
clusterjump_d,16777216,50,2,94.7078,9312558633043297431,208141903
clusterjump_d,16777216,50,3,95.2758,9312558633043297431,208141903
tlx_btree,16777216,50,3,349.6291,9312558633043297431,169623400
alex,16777216,50,3,99.3182,9312558633043297431,145805527
tlx_btree,16777216,50,4,340.5390,9312558633043297431,169623400
alex,16777216,50,4,102.0306,9312558633043297431,145805527
clusterjump_d,16777216,50,4,93.5928,9312558633043297431,208141903
