structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,209.8828,17459592645011777418,314713042
tlx_btree,16777216,50,0,387.4839,17459592645011777418,169681140
alex,16777216,50,0,259.9466,17459592645011777418,197037708
clusterjump_d,16777216,50,1,179.4659,17459592645011777418,314713042
tlx_btree,16777216,50,1,349.7975,17459592645011777418,169681140
alex,16777216,50,1,242.7282,17459592645011777418,197037708
tlx_btree,16777216,50,2,343.4100,17459592645011777418,169681140
alex,16777216,50,2,242.3237,17459592645011777418,197037708
clusterjump_d,16777216,50,2,179.4524,17459592645011777418,314713042
clusterjump_d,16777216,50,3,174.9986,17459592645011777418,314713042
tlx_btree,16777216,50,3,359.8704,17459592645011777418,169681140
alex,16777216,50,3,247.7721,17459592645011777418,197037708
tlx_btree,16777216,50,4,340.8507,17459592645011777418,169681140
alex,16777216,50,4,243.0732,17459592645011777418,197037708
clusterjump_d,16777216,50,4,178.0662,17459592645011777418,314713042
