structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,46.9634,12127669658597671139,155734398
tlx_btree,16777216,10,0,298.7560,12127669658597671139,161677416
alex,16777216,10,0,65.3039,12127669658597671139,109509026
clusterjump_d,16777216,10,1,46.2478,12127669658597671139,155734398
tlx_btree,16777216,10,1,312.6130,12127669658597671139,161677416
alex,16777216,10,1,70.0018,12127669658597671139,109509026
tlx_btree,16777216,10,2,302.3351,12127669658597671139,161677416
alex,16777216,10,2,63.8977,12127669658597671139,109509026
clusterjump_d,16777216,10,2,46.4523,12127669658597671139,155734398
clusterjump_d,16777216,10,3,48.4094,12127669658597671139,155734398
tlx_btree,16777216,10,3,310.6465,12127669658597671139,161677416
alex,16777216,10,3,64.8323,12127669658597671139,109509026
tlx_btree,16777216,10,4,302.8660,12127669658597671139,161677416
alex,16777216,10,4,68.2538,12127669658597671139,109509026
clusterjump_d,16777216,10,4,50.5113,12127669658597671139,155734398
