structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,41.8413,14370121722059532094,162613154
tlx_btree,16777216,10,0,311.1048,14370121722059532094,161773848
alex,16777216,10,0,67.1838,14370121722059532094,109355032
clusterjump_d,16777216,10,1,43.0436,14370121722059532094,162613154
tlx_btree,16777216,10,1,323.1539,14370121722059532094,161773848
alex,16777216,10,1,67.3391,14370121722059532094,109355032
tlx_btree,16777216,10,2,331.9801,14370121722059532094,161773848
alex,16777216,10,2,65.9711,14370121722059532094,109355032
clusterjump_d,16777216,10,2,44.7699,14370121722059532094,162613154
clusterjump_d,16777216,10,3,44.7694,14370121722059532094,162613154
tlx_btree,16777216,10,3,324.9925,14370121722059532094,161773848
alex,16777216,10,3,63.2536,14370121722059532094,109355032
tlx_btree,16777216,10,4,299.1937,14370121722059532094,161773848
alex,16777216,10,4,66.9610,14370121722059532094,109355032
clusterjump_d,16777216,10,4,51.7908,14370121722059532094,162613154
