structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,48.2380,222006141,153925922
tlx_btree,16777216,10,0,317.4140,222006141,161771584
alex,16777216,10,0,68.9900,222006141,111604808
clusterjump_d,16777216,10,1,47.8984,222006141,153925922
tlx_btree,16777216,10,1,313.1086,222006141,161771584
alex,16777216,10,1,67.9102,222006141,111604808
tlx_btree,16777216,10,2,341.4211,222006141,161771584
alex,16777216,10,2,69.0720,222006141,111604808
clusterjump_d,16777216,10,2,51.4267,222006141,153925922
clusterjump_d,16777216,10,3,48.9258,222006141,153925922
tlx_btree,16777216,10,3,316.0043,222006141,161771584
alex,16777216,10,3,67.3101,222006141,111604808
tlx_btree,16777216,10,4,315.6578,222006141,161771584
alex,16777216,10,4,67.6938,222006141,111604808
clusterjump_d,16777216,10,4,48.4495,222006141,153925922
