structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,37.1591,12924131327677310259,162193144
tlx_btree,16777216,10,0,334.3589,12924131327677310259,161775068
alex,16777216,10,0,96.0823,12924131327677310259,150965657
clusterjump_d,16777216,10,1,38.8473,12924131327677310259,162193144
tlx_btree,16777216,10,1,324.8499,12924131327677310259,161775068
alex,16777216,10,1,94.1794,12924131327677310259,150965657
tlx_btree,16777216,10,2,330.9520,12924131327677310259,161775068
alex,16777216,10,2,95.3217,12924131327677310259,150965657
clusterjump_d,16777216,10,2,37.6850,12924131327677310259,162193144
clusterjump_d,16777216,10,3,37.0210,12924131327677310259,162193144
tlx_btree,16777216,10,3,334.1800,12924131327677310259,161775068
alex,16777216,10,3,98.9840,12924131327677310259,150965657
tlx_btree,16777216,10,4,319.2787,12924131327677310259,161775068
alex,16777216,10,4,93.3283,12924131327677310259,150965657
clusterjump_d,16777216,10,4,39.2655,12924131327677310259,162193144
