structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,4120.4102,50148731675,318821219
tlx_btree,16777216,50,0,342.4004,50148731675,169694876
alex,16777216,50,0,344.9228,50148731675,184895879
clusterjump_d,16777216,50,1,4221.2369,50148731675,318821219
tlx_btree,16777216,50,1,348.6798,50148731675,169694876
alex,16777216,50,1,363.7606,50148731675,184895879
tlx_btree,16777216,50,2,373.8442,50148731675,169694876
alex,16777216,50,2,363.9444,50148731675,184895879
clusterjump_d,16777216,50,2,4330.4125,50148731675,318821219
clusterjump_d,16777216,50,3,4416.7808,50148731675,318821219
tlx_btree,16777216,50,3,330.4962,50148731675,169694876
alex,16777216,50,3,325.6020,50148731675,184895879
tlx_btree,16777216,50,4,330.8467,50148731675,169694876
alex,16777216,50,4,322.4039,50148731675,184895879
clusterjump_d,16777216,50,4,3810.5195,50148731675,318821219
