structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,97.6750,13953892341689795766,239949191
tlx_btree,16777216,50,0,370.1795,13953892341689795766,169681140
alex,16777216,50,0,101.5933,13953892341689795766,145971602
clusterjump_d,16777216,50,1,100.1727,13953892341689795766,239949191
tlx_btree,16777216,50,1,371.0374,13953892341689795766,169681140
alex,16777216,50,1,102.1635,13953892341689795766,145971602
tlx_btree,16777216,50,2,366.4673,13953892341689795766,169681140
alex,16777216,50,2,102.6863,13953892341689795766,145971602
clusterjump_d,16777216,50,2,97.9306,13953892341689795766,239949191
clusterjump_d,16777216,50,3,99.5045,13953892341689795766,239949191
tlx_btree,16777216,50,3,371.7558,13953892341689795766,169681140
alex,16777216,50,3,101.8967,13953892341689795766,145971602
tlx_btree,16777216,50,4,404.4884,13953892341689795766,169681140
alex,16777216,50,4,103.1215,13953892341689795766,145971602
clusterjump_d,16777216,50,4,97.9299,13953892341689795766,239949191
