structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,230.9103,113685262348,264772783
tlx_btree,16777216,50,0,339.1708,113685262348,169681140
alex,16777216,50,0,332.7668,113685262348,185740673
clusterjump_d,16777216,50,1,221.0700,113685262348,264772783
tlx_btree,16777216,50,1,349.2124,113685262348,169681140
alex,16777216,50,1,335.0733,113685262348,185740673
tlx_btree,16777216,50,2,425.8450,113685262348,169681140
alex,16777216,50,2,354.7784,113685262348,185740673
clusterjump_d,16777216,50,2,218.6312,113685262348,264772783
clusterjump_d,16777216,50,3,230.8988,113685262348,264772783
tlx_btree,16777216,50,3,370.6222,113685262348,169681140
alex,16777216,50,3,344.6531,113685262348,185740673
tlx_btree,16777216,50,4,363.6033,113685262348,169681140
alex,16777216,50,4,374.9871,113685262348,185740673
clusterjump_d,16777216,50,4,228.0482,113685262348,264772783
