structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,36.7732,3672609080099570796,162427768
tlx_btree,16777216,10,0,279.7757,3672609080099570796,161779196
alex,16777216,10,0,108.7255,3672609080099570796,155336807
clusterjump_d,16777216,10,1,36.1988,3672609080099570796,162427768
tlx_btree,16777216,10,1,286.6773,3672609080099570796,161779196
alex,16777216,10,1,108.9938,3672609080099570796,155336807
tlx_btree,16777216,10,2,280.2211,3672609080099570796,161779196
alex,16777216,10,2,108.0175,3672609080099570796,155336807
clusterjump_d,16777216,10,2,36.5417,3672609080099570796,162427768
clusterjump_d,16777216,10,3,36.6164,3672609080099570796,162427768
tlx_btree,16777216,10,3,279.4062,3672609080099570796,161779196
alex,16777216,10,3,108.9312,3672609080099570796,155336807
tlx_btree,16777216,10,4,280.2465,3672609080099570796,161779196
alex,16777216,10,4,107.9531,3672609080099570796,155336807
clusterjump_d,16777216,10,4,37.0144,3672609080099570796,162427768
