structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,48.6504,1972452197,154151561
tlx_btree,16777216,10,0,354.1311,1972452197,161754300
alex,16777216,10,0,65.9573,1972452197,111616643
clusterjump_d,16777216,10,1,47.3743,1972452197,154151561
tlx_btree,16777216,10,1,319.8320,1972452197,161754300
alex,16777216,10,1,74.0927,1972452197,111616643
tlx_btree,16777216,10,2,329.7966,1972452197,161754300
alex,16777216,10,2,65.8527,1972452197,111616643
clusterjump_d,16777216,10,2,47.5529,1972452197,154151561
clusterjump_d,16777216,10,3,48.7341,1972452197,154151561
tlx_btree,16777216,10,3,291.5384,1972452197,161754300
alex,16777216,10,3,65.8562,1972452197,111616643
tlx_btree,16777216,10,4,295.1161,1972452197,161754300
alex,16777216,10,4,65.9510,1972452197,111616643
clusterjump_d,16777216,10,4,46.5853,1972452197,154151561
