structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,82.2304,8957437572221781350,233937341
tlx_btree,16777216,10,0,322.4602,8957437572221781350,161783628
alex,16777216,10,0,159.8759,8957437572221781350,147430096
clusterjump_d,16777216,10,1,84.1342,8957437572221781350,233937341
tlx_btree,16777216,10,1,316.9110,8957437572221781350,161783628
alex,16777216,10,1,158.7630,8957437572221781350,147430096
tlx_btree,16777216,10,2,343.1709,8957437572221781350,161783628
alex,16777216,10,2,165.4374,8957437572221781350,147430096
clusterjump_d,16777216,10,2,85.2733,8957437572221781350,233937341
clusterjump_d,16777216,10,3,85.4063,8957437572221781350,233937341
tlx_btree,16777216,10,3,317.7525,8957437572221781350,161783628
alex,16777216,10,3,160.1614,8957437572221781350,147430096
tlx_btree,16777216,10,4,313.9915,8957437572221781350,161783628
alex,16777216,10,4,163.4133,8957437572221781350,147430096
clusterjump_d,16777216,10,4,83.9585,8957437572221781350,233937341
