structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,168.3441,14117065302584593880,315096131
tlx_btree,16777216,50,0,328.0963,14117065302584593880,169677800
alex,16777216,50,0,236.3544,14117065302584593880,197194324
clusterjump_d,16777216,50,1,166.8495,14117065302584593880,315096131
tlx_btree,16777216,50,1,334.5368,14117065302584593880,169677800
alex,16777216,50,1,234.6246,14117065302584593880,197194324
tlx_btree,16777216,50,2,330.2716,14117065302584593880,169677800
alex,16777216,50,2,233.5960,14117065302584593880,197194324
clusterjump_d,16777216,50,2,172.5327,14117065302584593880,315096131
clusterjump_d,16777216,50,3,175.2035,14117065302584593880,315096131
tlx_btree,16777216,50,3,354.6729,14117065302584593880,169677800
alex,16777216,50,3,241.5468,14117065302584593880,197194324
tlx_btree,16777216,50,4,360.4202,14117065302584593880,169677800
alex,16777216,50,4,240.7674,14117065302584593880,197194324
clusterjump_d,16777216,50,4,181.4480,14117065302584593880,315096131
