structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,845.8984,211121198245775,252690595
tlx_btree,16777216,10,0,309.0297,211121198245775,161677416
alex,16777216,10,0,233.9323,211121198245775,129024893
clusterjump_d,16777216,10,1,852.8032,211121198245775,252690595
tlx_btree,16777216,10,1,313.3246,211121198245775,161677416
alex,16777216,10,1,240.1605,211121198245775,129024893
tlx_btree,16777216,10,2,315.5015,211121198245775,161677416
alex,16777216,10,2,236.9592,211121198245775,129024893
clusterjump_d,16777216,10,2,845.7362,211121198245775,252690595
clusterjump_d,16777216,10,3,821.2092,211121198245775,252690595
tlx_btree,16777216,10,3,331.2971,211121198245775,161677416
alex,16777216,10,3,235.5886,211121198245775,129024893
tlx_btree,16777216,10,4,327.3432,211121198245775,161677416
alex,16777216,10,4,240.3910,211121198245775,129024893
clusterjump_d,16777216,10,4,850.2234,211121198245775,252690595
