structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,91.9377,123313734,232833935
tlx_btree,16777216,50,0,351.9962,123313734,169638264
alex,16777216,50,0,112.4312,123313734,155984839
clusterjump_d,16777216,50,1,92.0220,123313734,232833935
tlx_btree,16777216,50,1,359.1308,123313734,169638264
alex,16777216,50,1,111.9259,123313734,155984839
tlx_btree,16777216,50,2,354.5657,123313734,169638264
alex,16777216,50,2,112.5658,123313734,155984839
clusterjump_d,16777216,50,2,92.7546,123313734,232833935
clusterjump_d,16777216,50,3,92.6260,123313734,232833935
tlx_btree,16777216,50,3,354.7511,123313734,169638264
alex,16777216,50,3,112.7510,123313734,155984839
tlx_btree,16777216,50,4,357.9544,123313734,169638264
alex,16777216,50,4,112.7657,123313734,155984839
clusterjump_d,16777216,50,4,91.9723,123313734,232833935
