structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,97.6345,10034733345868678321,240051320
tlx_btree,16777216,50,0,367.5067,10034733345868678321,169694876
alex,16777216,50,0,102.6530,10034733345868678321,146363156
clusterjump_d,16777216,50,1,97.1175,10034733345868678321,240051320
tlx_btree,16777216,50,1,370.8928,10034733345868678321,169694876
alex,16777216,50,1,102.3938,10034733345868678321,146363156
tlx_btree,16777216,50,2,366.7939,10034733345868678321,169694876
alex,16777216,50,2,103.6644,10034733345868678321,146363156
clusterjump_d,16777216,50,2,98.1848,10034733345868678321,240051320
clusterjump_d,16777216,50,3,97.8169,10034733345868678321,240051320
tlx_btree,16777216,50,3,367.3289,10034733345868678321,169694876
alex,16777216,50,3,103.2535,10034733345868678321,146363156
tlx_btree,16777216,50,4,376.6268,10034733345868678321,169694876
alex,16777216,50,4,103.0312,10034733345868678321,146363156
clusterjump_d,16777216,50,4,98.1101,10034733345868678321,240051320
