structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,41.1335,7116884553129188871,162602970
tlx_btree,16777216,10,0,280.9060,7116884553129188871,161804640
alex,16777216,10,0,62.6105,7116884553129188871,109354973
clusterjump_d,16777216,10,1,41.0965,7116884553129188871,162602970
tlx_btree,16777216,10,1,282.9957,7116884553129188871,161804640
alex,16777216,10,1,62.3865,7116884553129188871,109354973
tlx_btree,16777216,10,2,281.0495,7116884553129188871,161804640
alex,16777216,10,2,62.7332,7116884553129188871,109354973
clusterjump_d,16777216,10,2,41.1046,7116884553129188871,162602970
clusterjump_d,16777216,10,3,41.4211,7116884553129188871,162602970
tlx_btree,16777216,10,3,281.5359,7116884553129188871,161804640
alex,16777216,10,3,62.8361,7116884553129188871,109354973
tlx_btree,16777216,10,4,282.2827,7116884553129188871,161804640
alex,16777216,10,4,62.4554,7116884553129188871,109354973
clusterjump_d,16777216,10,4,41.4982,7116884553129188871,162602970
