structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,170.3861,10206692473746053036,315196744
tlx_btree,16777216,50,0,330.3235,10206692473746053036,169694876
alex,16777216,50,0,233.9399,10206692473746053036,197093280
clusterjump_d,16777216,50,1,167.6790,10206692473746053036,315196744
tlx_btree,16777216,50,1,330.4242,10206692473746053036,169694876
alex,16777216,50,1,234.2529,10206692473746053036,197093280
tlx_btree,16777216,50,2,329.7375,10206692473746053036,169694876
alex,16777216,50,2,237.0160,10206692473746053036,197093280
clusterjump_d,16777216,50,2,167.9692,10206692473746053036,315196744
clusterjump_d,16777216,50,3,168.1987,10206692473746053036,315196744
tlx_btree,16777216,50,3,330.6178,10206692473746053036,169694876
alex,16777216,50,3,237.5023,10206692473746053036,197093280
tlx_btree,16777216,50,4,333.1416,10206692473746053036,169694876
alex,16777216,50,4,237.0353,10206692473746053036,197093280
clusterjump_d,16777216,50,4,167.8659,10206692473746053036,315196744
