structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,80.1090,15450062846888598113,188501440
tlx_btree,16777216,50,0,372.6687,15450062846888598113,169724868
alex,16777216,50,0,161.1301,15450062846888598113,236860695
clusterjump_d,16777216,50,1,80.4738,15450062846888598113,188501440
tlx_btree,16777216,50,1,376.6637,15450062846888598113,169724868
alex,16777216,50,1,162.3313,15450062846888598113,236860695
tlx_btree,16777216,50,2,354.5942,15450062846888598113,169724868
alex,16777216,50,2,159.6932,15450062846888598113,236860695
clusterjump_d,16777216,50,2,79.2614,15450062846888598113,188501440
clusterjump_d,16777216,50,3,78.8538,15450062846888598113,188501440
tlx_btree,16777216,50,3,359.5726,15450062846888598113,169724868
alex,16777216,50,3,158.9094,15450062846888598113,236860695
tlx_btree,16777216,50,4,376.0453,15450062846888598113,169724868
alex,16777216,50,4,162.4606,15450062846888598113,236860695
clusterjump_d,16777216,50,4,79.3805,15450062846888598113,188501440
