structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,45.8095,2613268150407164492,155697296
tlx_btree,16777216,10,0,281.8263,2613268150407164492,161721556
alex,16777216,10,0,63.7397,2613268150407164492,109511873
clusterjump_d,16777216,10,1,46.0021,2613268150407164492,155697296
tlx_btree,16777216,10,1,282.5434,2613268150407164492,161721556
alex,16777216,10,1,63.0945,2613268150407164492,109511873
tlx_btree,16777216,10,2,281.8303,2613268150407164492,161721556
alex,16777216,10,2,63.2035,2613268150407164492,109511873
clusterjump_d,16777216,10,2,46.0841,2613268150407164492,155697296
clusterjump_d,16777216,10,3,45.6893,2613268150407164492,155697296
tlx_btree,16777216,10,3,281.5069,2613268150407164492,161721556
alex,16777216,10,3,63.4266,2613268150407164492,109511873
tlx_btree,16777216,10,4,282.8202,2613268150407164492,161721556
alex,16777216,10,4,63.6330,2613268150407164492,109511873
clusterjump_d,16777216,10,4,45.6658,2613268150407164492,155697296
