structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,80.8353,18142314270495267722,188231736
tlx_btree,16777216,50,0,380.2769,18142314270495267722,169645788
alex,16777216,50,0,132.9362,18142314270495267722,205375465
clusterjump_d,16777216,50,1,80.9959,18142314270495267722,188231736
tlx_btree,16777216,50,1,386.6352,18142314270495267722,169645788
alex,16777216,50,1,133.0398,18142314270495267722,205375465
tlx_btree,16777216,50,2,358.8291,18142314270495267722,169645788
alex,16777216,50,2,133.7392,18142314270495267722,205375465
clusterjump_d,16777216,50,2,81.5203,18142314270495267722,188231736
clusterjump_d,16777216,50,3,80.3123,18142314270495267722,188231736
tlx_btree,16777216,50,3,390.4843,18142314270495267722,169645788
alex,16777216,50,3,137.3636,18142314270495267722,205375465
tlx_btree,16777216,50,4,381.3215,18142314270495267722,169645788
alex,16777216,50,4,134.8585,18142314270495267722,205375465
clusterjump_d,16777216,50,4,79.9064,18142314270495267722,188231736
