structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,93.2633,8230275186,236538794
tlx_btree,16777216,10,0,312.8428,8230275186,161721556
alex,16777216,10,0,141.9820,8230275186,126559868
clusterjump_d,16777216,10,1,94.1883,8230275186,236538794
tlx_btree,16777216,10,1,313.8892,8230275186,161721556
alex,16777216,10,1,140.9855,8230275186,126559868
tlx_btree,16777216,10,2,310.5726,8230275186,161721556
alex,16777216,10,2,147.2605,8230275186,126559868
clusterjump_d,16777216,10,2,95.2481,8230275186,236538794
clusterjump_d,16777216,10,3,94.8712,8230275186,236538794
tlx_btree,16777216,10,3,284.9266,8230275186,161721556
alex,16777216,10,3,135.2986,8230275186,126559868
tlx_btree,16777216,10,4,282.6808,8230275186,161721556
alex,16777216,10,4,134.9831,8230275186,126559868
clusterjump_d,16777216,10,4,91.1844,8230275186,236538794
