structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,47.1658,10149284394293756343,155899140
tlx_btree,16777216,10,0,314.4494,10149284394293756343,161783628
alex,16777216,10,0,65.5710,10149284394293756343,109434357
clusterjump_d,16777216,10,1,47.4298,10149284394293756343,155899140
tlx_btree,16777216,10,1,316.2832,10149284394293756343,161783628
alex,16777216,10,1,65.3450,10149284394293756343,109434357
tlx_btree,16777216,10,2,311.0865,10149284394293756343,161783628
alex,16777216,10,2,65.5080,10149284394293756343,109434357
clusterjump_d,16777216,10,2,47.8606,10149284394293756343,155899140
clusterjump_d,16777216,10,3,47.3596,10149284394293756343,155899140
tlx_btree,16777216,10,3,325.7504,10149284394293756343,161783628
alex,16777216,10,3,65.7602,10149284394293756343,109434357
tlx_btree,16777216,10,4,323.9268,10149284394293756343,161783628
alex,16777216,10,4,65.6348,10149284394293756343,109434357
clusterjump_d,16777216,10,4,47.6051,10149284394293756343,155899140
