structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,80.8360,13430109864329216946,232846735
tlx_btree,16777216,10,0,282.8064,13430109864329216946,161677416
alex,16777216,10,0,150.3356,13430109864329216946,147507435
clusterjump_d,16777216,10,1,79.4968,13430109864329216946,232846735
tlx_btree,16777216,10,1,286.9105,13430109864329216946,161677416
alex,16777216,10,1,148.2136,13430109864329216946,147507435
tlx_btree,16777216,10,2,282.3695,13430109864329216946,161677416
alex,16777216,10,2,148.5088,13430109864329216946,147507435
clusterjump_d,16777216,10,2,80.6146,13430109864329216946,232846735
clusterjump_d,16777216,10,3,80.3141,13430109864329216946,232846735
tlx_btree,16777216,10,3,283.9296,13430109864329216946,161677416
alex,16777216,10,3,147.5059,13430109864329216946,147507435
tlx_btree,16777216,10,4,282.6614,13430109864329216946,161677416
alex,16777216,10,4,147.7241,13430109864329216946,147507435
clusterjump_d,16777216,10,4,80.5340,13430109864329216946,232846735
