structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,98.2540,7000566142154570352,208033844
tlx_btree,16777216,50,0,429.5927,7000566142154570352,169691680
alex,16777216,50,0,103.5720,7000566142154570352,145805572
clusterjump_d,16777216,50,1,100.3437,7000566142154570352,208033844
tlx_btree,16777216,50,1,371.7669,7000566142154570352,169691680
alex,16777216,50,1,101.5871,7000566142154570352,145805572
tlx_btree,16777216,50,2,366.3676,7000566142154570352,169691680
alex,16777216,50,2,101.5381,7000566142154570352,145805572
clusterjump_d,16777216,50,2,93.8834,7000566142154570352,208033844
clusterjump_d,16777216,50,3,95.4292,7000566142154570352,208033844
tlx_btree,16777216,50,3,376.7992,7000566142154570352,169691680
alex,16777216,50,3,102.1655,7000566142154570352,145805572
tlx_btree,16777216,50,4,377.8661,7000566142154570352,169691680
alex,16777216,50,4,111.3728,7000566142154570352,145805572
clusterjump_d,16777216,50,4,101.2985,7000566142154570352,208033844
