structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,205.0597,137051456136,324586551
tlx_btree,16777216,50,0,352.6593,137051456136,169677800
alex,16777216,50,0,245.3506,137051456136,184340142
clusterjump_d,16777216,50,1,210.7378,137051456136,324586551
tlx_btree,16777216,50,1,357.7822,137051456136,169677800
alex,16777216,50,1,247.6794,137051456136,184340142
tlx_btree,16777216,50,2,347.4414,137051456136,169677800
alex,16777216,50,2,249.0586,137051456136,184340142
clusterjump_d,16777216,50,2,203.8176,137051456136,324586551
clusterjump_d,16777216,50,3,198.2242,137051456136,324586551
tlx_btree,16777216,50,3,353.8525,137051456136,169677800
alex,16777216,50,3,251.8249,137051456136,184340142
tlx_btree,16777216,50,4,340.0608,137051456136,169677800
alex,16777216,50,4,244.6865,137051456136,184340142
clusterjump_d,16777216,50,4,207.8800,137051456136,324586551
