"candidate","mode","keys","n","sessions","candidate_ns","best_splus_ns","ratio_median","ratio_min","ratio_max","beats_splus"
"clusterjump","tput","clustered",524288,3,15.4602,27.7054,0.511389624264684,0.501480689111586,0.558021179986573,TRUE
"clusterjump","tput","clustered",1048576,3,22.464,43.4326,0.504564460398768,0.499226387552207,0.520525345024145,TRUE
"clusterjump","tput","clustered",2097152,3,26.7792,54.2023,0.495285175087223,0.48446099150774,0.502161157667937,TRUE
"clusterjump","tput","clustered",4194304,3,32.7515,65.2771,0.49489338746942,0.4896192411945,0.501869721540938,TRUE
"clusterjump","tput","clustered",8388608,3,36.9751,79.3839,0.465775805925383,0.465689410409398,0.471413343851179,TRUE
"clusterjump","tput","clustered",16777216,3,40.6998,91.3437,0.439469826599974,0.43212824155104,0.448617600666647,TRUE
"clusterjump","tput","clustered",33554432,3,43.2083,107.1121,0.403393267427303,0.401795847174046,0.41527965275041,TRUE
"clusterjump","tput","uniform",256,3,3.3493,2.8854,1.16077493588411,1.14474992895709,1.3542544084917,FALSE
"clusterjump","tput","uniform",512,3,3.5309,3.0319,1.18729614311174,1.02114185824071,1.30406760711585,FALSE
"clusterjump","tput","uniform",1024,3,3.5065,4.2328,0.828411453411453,0.775687409551375,0.96769589419097,TRUE
"clusterjump","tput","uniform",2048,3,3.9505,4.2236,0.935339520787953,0.883610124842515,0.958654120330767,TRUE
"clusterjump","tput","uniform",4096,3,3.7323,4.2191,0.884619942641796,0.848749123217208,0.956992097147263,TRUE
"clusterjump","tput","uniform",8192,3,3.8925,5.8731,0.662767533329928,0.646708987637822,0.690263373362445,TRUE
"clusterjump","tput","uniform",16384,3,3.9917,6.0471,0.6566268033097,0.644209621140712,0.685714772069588,TRUE
"clusterjump","tput","uniform",32768,3,4.2236,6.2012,0.684760187756826,0.681093981809972,0.698944425700101,TRUE
"clusterjump","tput","uniform",65536,3,4.7577,8.0139,0.594252945209749,0.593680979298469,0.603121116221861,TRUE
"clusterjump","tput","uniform",131072,3,7.5897,13.8382,0.548460059834372,0.517607325838742,0.572526165297013,TRUE
"clusterjump","tput","uniform",262144,3,10.6888,20.4239,0.570289195982357,0.523347646629684,0.611807977071889,TRUE
"clusterjump","tput","uniform",524288,3,17.6727,30.5954,0.577626048360211,0.535866906843578,0.640781142342723,TRUE
"clusterjump","tput","uniform",1048576,3,23.6191,44.2627,0.533611822143701,0.505119929686614,0.534563509674629,TRUE
"clusterjump","tput","uniform",2097152,3,29.8447,54.509,0.546463105816609,0.524813260455745,0.548414023372287,TRUE
"clusterjump","tput","uniform",4194304,3,37.4619,65.7303,0.563715591613377,0.555147813076039,0.569933500988129,TRUE
"clusterjump","tput","uniform",8388608,3,41.8411,79.4846,0.516620863224266,0.506987325698968,0.526405114953085,TRUE
"clusterjump","tput","uniform",16777216,3,44.7754,94.194,0.475352994882901,0.474505493327042,0.478200831463834,TRUE
"clusterjump","tput","uniform",33554432,3,47.8348,106.9031,0.446621105040371,0.442101997219809,0.447459428211156,TRUE
"spline32","lat","clustered",256,3,23.9624,12.529,1.91255487269535,1.903272797125,2.00191626320853,FALSE
"spline32","lat","clustered",512,3,23.6496,15.567,1.51921372133359,1.51674665287667,1.5234489292182,FALSE
"spline32","lat","clustered",1024,3,28.7109,17.4957,1.64102608069411,1.34978507609623,1.64262054765395,FALSE
"spline32","lat","clustered",2048,3,28.7827,17.5156,1.64648384935609,1.6432608646007,1.64885269755988,FALSE
"spline32","lat","clustered",4096,3,28.9291,17.6346,1.6438281241098,1.64047384119855,1.6458518683274,FALSE
"spline32","lat","clustered",8192,3,29.8859,23.3353,1.27909385947944,1.27535339057988,1.2807163396228,FALSE
"spline32","lat","clustered",16384,3,30.6152,23.7,1.2917805907173,1.29115247942222,1.29227567106585,FALSE
"spline32","lat","clustered",32768,3,32.2205,25.5356,1.26256437755359,1.25832819126917,1.26268033647144,FALSE
"spline32","lat","clustered",65536,3,33.2489,27.0462,1.22063300173325,1.21304625815949,1.22933720818451,FALSE
"spline32","lat","clustered",131072,3,35.2295,35.0922,0.983984359230188,0.916371635702065,1.00391255036732,FALSE
"spline32","lat","clustered",262144,3,46.0876,47.8775,0.96261500704924,0.940052732890118,1.05909178052428,FALSE
"spline32","lat","clustered",524288,3,55.101,66.124,0.848155643481173,0.833298046095215,0.942009318234376,TRUE
"spline32","lat","clustered",1048576,3,77.4231,116.7282,0.685706363510329,0.66327674032496,0.74173599856543,TRUE
"spline32","lat","clustered",2097152,3,109.8694,148.8632,0.748187064812135,0.73526768200603,0.758769903261531,TRUE
"spline32","lat","clustered",4194304,3,148.5519,187.1185,0.806820218531155,0.785386471306784,0.837649938408014,TRUE
"spline32","lat","clustered",8388608,3,189.5767,219.9921,0.850499243331586,0.842377976300058,0.864676146737522,TRUE
"spline32","lat","clustered",16777216,3,219.8044,268.4494,0.817090865560936,0.81401718496959,0.818792666327434,TRUE
"spline32","lat","clustered",33554432,3,266.1133,311.145,0.841748666133379,0.831818685635013,0.855271015121567,TRUE
"spline32","lat","uniform",256,3,25.9766,12.7213,2.04243993554645,2.03514572234409,2.04317168842807,FALSE
"spline32","lat","uniform",512,3,26.0559,15.8203,1.64601564614453,1.64524439449142,1.64959577252012,FALSE
"spline32","lat","uniform",1024,3,26.0422,17.8146,1.46184590167615,1.45025104913922,1.46216332964943,FALSE
"spline32","lat","uniform",2048,3,24.5636,17.8299,1.37554179219819,1.3490611955084,1.4628124666992,FALSE
"spline32","lat","uniform",4096,3,24.1379,17.9123,1.34758931826467,1.34756005649749,1.34764379783724,FALSE
"spline32","lat","uniform",8192,3,24.9756,23.7503,1.05351932396643,1.05003909961573,1.05506222800754,FALSE
"spline32","lat","uniform",16384,3,30.5817,24.1852,1.28375871043573,1.07261879165771,1.28974319811434,FALSE
"spline32","lat","uniform",32768,3,32.0526,25.4395,1.26053366565554,1.25995400853004,1.2606987997235,FALSE
"spline32","lat","uniform",65536,3,33.194,27.3712,1.21223661585173,1.20875999592152,1.21318027707956,FALSE
"spline32","lat","uniform",131072,3,35.8765,37.4619,0.957679669210585,0.915081173137133,0.999422731610811,TRUE
"spline32","lat","uniform",262144,3,38.8779,48.1964,0.806655683827008,0.775653944020356,0.922499018433319,TRUE
"spline32","lat","uniform",524288,3,55.5954,69.9219,0.795107112363937,0.73862518298097,0.886433440202603,TRUE
"spline32","lat","uniform",1048576,3,79.5578,108.6349,0.713632374196132,0.712901654993009,0.787955320232075,TRUE
"spline32","lat","uniform",2097152,3,109.1248,147.9691,0.737483704368006,0.721396855072948,0.739297904130056,TRUE
"spline32","lat","uniform",4194304,3,153.1738,186.6119,0.83684015858976,0.796554239038346,0.849269718498519,TRUE
"spline32","lat","uniform",8388608,3,192.2379,221.637,0.845750483899349,0.832197380749679,0.872478503227353,TRUE
"spline32","lat","uniform",16777216,3,219.3665,260.2814,0.820244507593048,0.799910956429526,0.842805133213514,TRUE
"spline32","lat","uniform",33554432,3,265.1093,314.3692,0.836767819201174,0.826642266348452,0.846275971055689,TRUE
"spline32","tput","clustered",256,3,11.8103,2.8961,4.09173556677047,3.85076622106293,4.62014433203273,FALSE
"spline32","tput","clustered",512,3,11.261,3.0396,3.70854602338218,3.61296332614238,3.71430451375181,FALSE
