"compiler","mode","order","comparison","n","ratio","lo","hi"
"gcc","lat","blocked","branch-free rank vs original rank",256,1.08949712915641,1.08482180053324,1.10902959050493
"gcc","tput","blocked","branch-free rank vs original rank",256,1.06535887051412,1.05446585299159,1.07096220079338
"clang","lat","shuffled","branch-free rank vs original rank",256,1.04805342295524,1.0398920827104,1.06482554507212
"gcc","lat","shuffled","branch-free rank vs original rank",256,1.08234476821892,1.07621958796193,1.09363467479858
"clang","tput","shuffled","branch-free rank vs original rank",256,1.02618068715939,1.01875794605613,1.03084645049793
"gcc","tput","shuffled","branch-free rank vs original rank",256,1.0572125044321,1.04758037468921,1.07433436989286
"gcc","lat","blocked","compact 128-B node vs 184-B node",256,0.969590331426312,0.967198380304203,0.973082341872259
"gcc","tput","blocked","compact 128-B node vs 184-B node",256,0.978065246370359,0.970757578557494,1.00897868816347
"clang","lat","shuffled","compact 128-B node vs 184-B node",256,0.969310597994802,0.962994919653211,0.970719471702141
"gcc","lat","shuffled","compact 128-B node vs 184-B node",256,0.968006742714635,0.96639597402839,0.96946977310657
"clang","tput","shuffled","compact 128-B node vs 184-B node",256,0.957523543413019,0.937750569282977,0.960222570023696
"gcc","tput","shuffled","compact 128-B node vs 184-B node",256,0.984766814473639,0.984477491804149,0.988413658071942
"gcc","lat","blocked","equal footprint: compact fusion vs aligned B-tree",256,2.08424883944499,2.07122589094373,2.09193880334251
"gcc","tput","blocked","equal footprint: compact fusion vs aligned B-tree",256,3.15887946808236,3.15776028541986,3.34566451541321
"clang","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",256,1.84732214581439,1.84439780973627,1.8511961118475
"gcc","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",256,2.08562150876541,2.06844232164092,2.09015034105604
"clang","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",256,2.73395734684139,2.73202527534178,2.81930394140435
"gcc","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",256,3.15886718286712,3.14841722010586,3.23229459156894
"gcc","lat","blocked","Exp 4: 16-key fusion vs 16-key B-tree",256,2.71924760286792,2.69273045040745,2.75617168676905
"gcc","tput","blocked","Exp 4: 16-key fusion vs 16-key B-tree",256,6.24362808244387,5.971681607085,6.33360985726485
"clang","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",256,2.5142456397921,2.5070585574198,2.54152753344176
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",256,2.72278084270539,2.7044208987943,2.75620284335762
"clang","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",256,5.41239968465099,5.20148193649941,5.58648770924446
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",256,5.92415453649994,5.49771110362458,5.95278787063204
"gcc","lat","blocked","Exp 4: 16-key fusion vs 8-key fusion",256,0.888692243899501,0.86826614321276,0.903314844194403
"gcc","tput","blocked","Exp 4: 16-key fusion vs 8-key fusion",256,0.729830332181447,0.696244699369423,0.756839278693461
"clang","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",256,0.890101144165822,0.867078064314245,0.903786363990472
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",256,0.886648501362398,0.864218784697342,0.895390318319659
"clang","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",256,0.698388270553528,0.6708786091276,0.698666694169913
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",256,0.734022146079456,0.700945735738036,0.756407855719488
"gcc","lat","blocked","Exp 4: 16-key fusion vs best B-tree",256,2.71924760286792,2.69273045040745,2.75617168676905
"gcc","tput","blocked","Exp 4: 16-key fusion vs best B-tree",256,6.24362808244387,5.971681607085,6.33360985726485
"clang","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",256,2.5142456397921,2.5070585574198,2.54152753344176
"gcc","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",256,2.72278084270539,2.7044208987943,2.75620284335762
"clang","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",256,5.41239968465099,5.20148193649941,5.58648770924446
"gcc","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",256,5.92415453649994,5.49771110362458,5.95278787063204
"gcc","lat","blocked","original fusion vs binary search",256,3.01040139834926,3.00514022629253,3.02646654445463
"gcc","tput","blocked","original fusion vs binary search",256,7.93564931956507,7.79337763519707,7.93660714285714
"clang","lat","shuffled","original fusion vs binary search",256,1.79970545568387,1.75597518116638,1.80965179610658
"gcc","lat","shuffled","original fusion vs binary search",256,3.06115973574089,3.05133522269072,3.07856503477243
"clang","tput","shuffled","original fusion vs binary search",256,1.62896702131819,1.5882019190655,1.64035599970143
"gcc","tput","shuffled","original fusion vs binary search",256,8.03684954622155,7.87930994342654,8.05867899662713
"gcc","lat","blocked","original fusion vs branch-free B-tree",256,1.79632207487728,1.77591173709789,1.83240685929927
"gcc","tput","blocked","original fusion vs branch-free B-tree",256,2.73593979639733,2.68790197425821,2.816401397837
"clang","lat","shuffled","original fusion vs branch-free B-tree",256,1.63903382027622,1.62954490104722,1.70996977583746
"gcc","lat","shuffled","original fusion vs branch-free B-tree",256,1.83285278965852,1.81173823704181,1.84751350898894
"clang","tput","shuffled","original fusion vs branch-free B-tree",256,2.5497264026469,2.52885951305052,2.70451287842592
"gcc","tput","shuffled","original fusion vs branch-free B-tree",256,2.70248466280646,2.64552933405392,2.76903692431048
"gcc","lat","blocked","branch-free rank vs original rank",512,1.12725605984195,1.11260397993268,1.13713204098949
"gcc","tput","blocked","branch-free rank vs original rank",512,1.08753715541293,1.08364702423062,1.10437244544234
"clang","lat","shuffled","branch-free rank vs original rank",512,1.06821990173153,1.05944073655088,1.07955269951329
"gcc","lat","shuffled","branch-free rank vs original rank",512,1.12537153653946,1.11043540499822,1.13147433111925
"clang","tput","shuffled","branch-free rank vs original rank",512,1.03871861152142,1.02986052256583,1.05647366320937
"gcc","tput","shuffled","branch-free rank vs original rank",512,1.07624102543983,1.07382774882971,1.09687442984857
"gcc","lat","blocked","compact 128-B node vs 184-B node",512,0.976623279143082,0.975521095349263,0.981168085579977
"gcc","tput","blocked","compact 128-B node vs 184-B node",512,0.984135854044484,0.983726713608503,1.02348525243823
"clang","lat","shuffled","compact 128-B node vs 184-B node",512,0.966301549981614,0.966258253201578,0.966545543959346
"gcc","lat","shuffled","compact 128-B node vs 184-B node",512,0.973110103078304,0.972283698812287,0.973746158803081
"clang","tput","shuffled","compact 128-B node vs 184-B node",512,0.9658252052443,0.963100220278276,0.990454507694544
"gcc","tput","shuffled","compact 128-B node vs 184-B node",512,0.997382824885775,0.996505645127692,0.999089665262331
"gcc","lat","blocked","equal footprint: compact fusion vs aligned B-tree",512,2.28086556606206,2.20651900327209,2.2954205636388
"gcc","tput","blocked","equal footprint: compact fusion vs aligned B-tree",512,4.85630198833133,4.49740334679746,4.95747983409247
"clang","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",512,2.0040951403718,1.95653977325099,2.01061760041309
"gcc","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",512,2.27119998360958,2.2072755180353,2.28497070880073
"clang","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",512,4.20962595284524,4.07101014735539,4.28061270427227
"gcc","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",512,4.74884607293562,4.52648311586287,4.81772977327945
