"candidate","mode","keys","n","sessions","candidate_ns","best_splus_ns","ratio_median","ratio_min","ratio_max","beats_splus"
"clusterjump","lat","osm",1048576,3,107.55,109.2377,0.989540958762064,0.984550205652444,0.993049109840074,TRUE
"clusterjump","lat","osm",2097152,3,154.1885,150.354,1.02857857498741,1.02550314590899,1.0489984477603,FALSE
"clusterjump","lat","osm",4194304,3,202.0248,186.2656,1.08743930330611,1.07858509569131,1.08898197774481,FALSE
"clusterjump","lat","osm",8388608,3,243.8461,222.644,1.09522870591617,1.0682424554857,1.09972335464236,FALSE
"clusterjump","lat","osm",16777216,3,283.5495,264.8483,1.06644864502989,1.04097188217738,1.07061098749737,FALSE
"clusterjump","lat","osm",33554432,3,317.2531,316.4246,1.00261831728633,0.981603752711906,1.00843106032133,FALSE
"clusterjump","lat","wiki",256,3,14.2563,12.4039,1.12160716252577,1.0524997980777,1.20506453615395,FALSE
"clusterjump","lat","wiki",512,3,12.529,15.5319,0.807080789482185,0.806662417347523,0.879972310499984,TRUE
"clusterjump","lat","wiki",1024,3,12.8372,17.5735,0.720773745372103,0.709407091094346,0.730486243491621,TRUE
"clusterjump","lat","wiki",2048,3,12.5702,17.5323,0.717972619034003,0.716973814046075,0.732547851310941,TRUE
"clusterjump","lat","wiki",4096,3,12.7487,17.5873,0.720416738361799,0.720384843237331,0.724881022101175,TRUE
"clusterjump","lat","wiki",8192,3,13.382,23.4024,0.572083260301731,0.563929340580453,0.572821486159635,TRUE
"clusterjump","lat","wiki",16384,3,14.0656,23.8327,0.590180718089012,0.588565601118008,0.592848214322548,TRUE
"clusterjump","lat","wiki",32768,3,15.7715,25.0946,0.628481824775051,0.626945509747523,0.630787931068285,TRUE
"clusterjump","lat","wiki",65536,3,18.132,26.8509,0.678524250917759,0.674491357831581,0.686074989795323,TRUE
"clusterjump","lat","wiki",131072,3,21.9559,34.8495,0.639173004633272,0.630020516793641,0.681710029081069,TRUE
"clusterjump","lat","wiki",262144,3,28.8849,40.184,0.718815946645431,0.71721658532079,0.780442108913802,TRUE
"clusterjump","lat","wiki",524288,3,53.6331,53.9795,0.993582749006567,0.967937336533452,1.08600387508918,FALSE
"clusterjump","lat","wiki",1048576,3,107.7072,103.949,1.0207707625855,1.0079305841468,1.04500599116122,FALSE
"clusterjump","lat","wiki",2097152,3,155.4916,148.3582,1.05553726873051,1.03417674250564,1.05595649360042,FALSE
"clusterjump","lat","wiki",4194304,3,207.3502,187.2604,1.1098920924149,1.10728269297727,1.12982731496399,FALSE
"clusterjump","lat","wiki",8388608,3,252.7328,224.0967,1.1231151694116,1.11888528479,1.15284083418899,FALSE
"clusterjump","lat","wiki",16777216,3,284.4543,262.0316,1.08557250346905,1.06026725834788,1.08656586193494,FALSE
"clusterjump","lat","wiki",33554432,3,306.7749,324.6338,0.949354010580537,0.925294456526001,0.979849105491073,TRUE
"clusterjump","tput","books",256,3,3.3707,2.8488,1.183199943836,1.05294715803499,1.67413050443202,FALSE
"clusterjump","tput","books",512,3,4.6005,2.8961,1.58517676245607,1.43202928075688,1.80891406057621,FALSE
"clusterjump","tput","books",1024,3,4.66,4.3076,1.04947863883071,0.854846645891422,1.0821803324357,FALSE
"clusterjump","tput","books",2048,3,3.9215,4.361,0.899220362302224,0.757578524470416,0.935446173982144,TRUE
"clusterjump","tput","books",4096,3,3.8879,4.4022,0.886555388334017,0.868974603607287,0.895918871014785,TRUE
"clusterjump","tput","books",8192,3,3.8788,5.8182,0.664461951346204,0.660952543239329,0.716235261764807,TRUE
"clusterjump","tput","books",16384,3,3.9963,5.986,0.66760775141998,0.660945667535033,0.676113493354363,TRUE
"clusterjump","tput","books",32768,3,4.2618,6.2164,0.687296933195974,0.681391158870086,0.697557941600105,TRUE
"clusterjump","tput","books",65536,3,4.7775,7.9712,0.599345142513047,0.574819941768402,0.634672909351021,TRUE
"clusterjump","tput","books",131072,3,5.8365,9.8541,0.565760470242469,0.547470740471549,0.592291533473376,TRUE
"clusterjump","tput","books",262144,3,7.576,12.6007,0.595265200749393,0.570509084621148,0.601236439245439,TRUE
"clusterjump","tput","books",524288,3,14.1205,27.4841,0.513769779618034,0.476839616961677,0.606738632345986,TRUE
"clusterjump","tput","books",1048576,3,22.3801,43.7485,0.511562682149102,0.510684165363149,0.523141293130525,TRUE
"clusterjump","tput","books",2097152,3,29.1214,55.2841,0.534763159751176,0.509631791927015,0.535283445795047,TRUE
"clusterjump","tput","books",4194304,3,35.0296,65.7349,0.534194642437773,0.526717162420571,0.534407866520836,TRUE
"clusterjump","tput","books",8388608,3,39.3967,78.8086,0.495634832315444,0.490686295658088,0.514077642665233,TRUE
"clusterjump","tput","books",16777216,3,42.6865,90.6464,0.465845306597945,0.463707991009693,0.475154891451584,TRUE
"clusterjump","tput","books",33554432,3,46.6675,107.5943,0.434232110808844,0.433342309549456,0.435032983899784,TRUE
"clusterjump","tput","fb",256,3,5.5954,2.8214,1.98504325895828,1.37800382788686,1.99835714285714,FALSE
"clusterjump","tput","fb",512,3,5.8777,2.8702,2.0338062283737,1.90225960861608,2.26259494111909,FALSE
"clusterjump","tput","fb",1024,3,5.5771,4.3549,1.2739794869452,1.0605984063928,1.43969796052786,FALSE
"clusterjump","tput","fb",2048,3,5.571,4.3594,1.25712614457018,1.12342019394274,1.27792815525072,FALSE
"clusterjump","tput","fb",4096,3,5.7968,4.4708,1.30274223852554,1.22901941486982,1.32093701576885,FALSE
"clusterjump","tput","fb",8192,3,5.7205,5.8502,0.977829817784007,0.968726110223087,0.988009838081574,TRUE
"clusterjump","tput","fb",16384,3,5.7343,5.9647,0.961808925439717,0.961372742971147,0.995919664208432,TRUE
"clusterjump","tput","fb",32768,3,6.0272,6.2286,0.968644639244774,0.963873918536406,0.980714942226891,TRUE
"clusterjump","tput","fb",65536,3,6.4606,8.0017,0.811977454790857,0.805941435138917,0.824866258953309,TRUE
"clusterjump","tput","fb",131072,3,7.1457,9.3414,0.762498126619136,0.690131810193322,0.776234031459112,TRUE
"clusterjump","tput","fb",262144,3,10.1395,14.0518,0.721580153432301,0.643583106419695,0.774259622006959,TRUE
"clusterjump","tput","fb",524288,3,16.3193,27.6337,0.59818985276284,0.590557905745521,0.620494353292137,TRUE
"clusterjump","tput","fb",1048576,3,24.9481,44.8196,0.556633704896965,0.551570761835234,0.605775240816522,TRUE
"clusterjump","tput","fb",2097152,3,32.0297,54.689,0.577722744596537,0.55426181239656,0.601517672658121,TRUE
"clusterjump","tput","fb",4194304,3,40.1367,66.3605,0.611826354413821,0.604828173386276,0.623786560896196,TRUE
"clusterjump","tput","fb",8388608,3,48.7579,79.7928,0.611171684663278,0.584702114060197,0.620758514234354,TRUE
"clusterjump","tput","fb",16777216,3,56.7566,94.9356,0.62207944373384,0.586609770911526,1.85987764337087,FALSE
"clusterjump","tput","fb",33554432,3,69.0979,107.5638,0.642389911847666,0.639815832472568,0.644801475380234,TRUE
"clusterjump","tput","osm",256,3,8.9798,2.8519,3.20707142857143,3.0240541393457,3.32473088116694,FALSE
"clusterjump","tput","osm",512,3,10.6781,2.8976,3.69357399226946,3.68515323025952,3.7166074506631,FALSE
