"mode","dataset","rival","sessions","clusterjump_ns","rival_ns","ratio_median","ratio_min","ratio_max","verdict"
"lat","nested","best_splus",3,519.4626,318.7149,1.64687930993248,1.62986606525142,1.71806108194625,"loses"
"lat","nested","pgm16",3,519.4626,239.5386,2.17794996925688,2.16859662701544,2.36292797685849,"loses"
"lat","nested","rs18_e16",3,519.4626,255.0034,2.03708107421313,2.03245079920788,2.23931522820987,"loses"
"tput","nested","best_splus",3,196.6782,110.4004,1.78149898007616,1.72268667571494,1.84654082876322,"loses"
"tput","nested","pgm16",3,196.6782,118.9438,1.64004825828674,1.54676554899748,1.73612916352092,"loses"
"tput","nested","rs18_e16",3,196.6782,104.5273,1.88159648245004,1.82597671344613,1.94959422358677,"loses"
