"baseline","n","ratio","lo","hi"
"btree8_bl",256,1.48541579976506,1.47416034450422,1.50656245500426
"btree8_bl",512,1.55007502376707,1.43267103596561,1.65825877725549
"btree8_bl",1024,1.4649007998338,1.42831930251849,1.49587017525282
"btree8_bl",2048,1.52549867321088,1.49813743277045,1.57798303188157
"btree8_bl",4096,1.5996003761822,1.58708207832376,1.6099866253047
"btree8_bl",8192,1.58167184616879,1.55798929251554,1.59668686159159
"btree8_bl",16384,1.54463082398072,1.50875579628259,1.58029751514682
"btree8_bl",32768,1.58886075651924,1.54030066504118,1.60718965637996
"btree8_bl",65536,1.55362892540082,1.49347919703193,1.61473123116806
"btree8_bl",131072,1.59454608330525,1.50143965986482,1.71641135149789
"btree8_bl",262144,1.53894183856308,1.48060095582175,1.5613401589507
"btree8_bl",524288,1.58083500294731,1.48080671817017,1.64156162437035
"btree8_bl",1048576,1.44843814190688,1.38463694481358,1.50031395410576
"btree8_bl",2097152,1.25605880685177,1.12307196066476,1.35741636203785
"btree8_bl",4194304,1.22603892656032,1.19531460900214,1.27217370120849
"btree8_bl",8388608,1.29040698432326,1.26938966287057,1.31299333582811
"btree8_bl",16777216,1.20374255659374,1.0589069646818,1.29303190507173
"btree8_bl",33554432,1.20148426945495,1.17900211798862,1.24372440348701
"btree8",256,1.8818362062933,1.8470441225971,1.91048395780761
"btree8",512,1.66231697730027,1.61597345542549,1.79274936880127
"btree8",1024,1.82663997217062,1.7892426548051,1.85670082649576
"btree8",2048,1.77449574823174,1.70270044160795,1.83609949932449
"btree8",4096,1.67274934557457,1.65639899349847,1.68605426851034
"btree8",8192,1.71579260648329,1.70759536874163,1.73182138121387
"btree8",16384,1.64368303455443,1.60731735788017,1.68125837668985
"btree8",32768,1.65988040856656,1.64794897652139,1.67920442664749
"btree8",65536,1.65850221541704,1.58957640259856,1.76551117489364
"btree8",131072,1.83409084484576,1.72633232384951,1.91976897847243
"btree8",262144,1.85076578369665,1.78472301993345,1.88438596316872
"btree8",524288,1.94652022463227,1.86247876093346,2.01149279120565
"btree8",1048576,1.3890239704202,1.33226522932666,1.45288464698525
"btree8",2097152,1.37633915386373,1.29778858591471,1.49798401538744
"btree8",4194304,1.3417398625961,1.30012340455295,1.40305788843354
"btree8",8388608,1.30440419841895,1.27921894676648,1.32752210844392
"btree8",16777216,1.23414258338694,1.18107684941216,1.34471913726015
"btree8",33554432,1.2712919109389,1.19734308553575,1.30987714746698
"sorted_array",256,3.08867534456355,3.06718223583461,3.12710648840616
"sorted_array",512,2.78753819217961,2.67303887937868,2.96545017351513
"sorted_array",1024,3.10888214249723,3.05842487151063,3.17636203155503
"sorted_array",2048,3.23200203805134,3.1920169723388,3.34119439472144
"sorted_array",4096,3.05804021575019,3.03217423717983,3.07881676340593
"sorted_array",8192,2.82854426092846,2.81687859469198,2.85024990888739
"sorted_array",16384,2.66517818024953,2.60670368500757,2.69546915968482
"sorted_array",32768,2.19907960745095,2.18249736924969,2.21206700761302
"sorted_array",65536,1.9218432110932,1.85824274335645,1.98757740934992
"sorted_array",131072,2.84274624492817,2.72915550015581,2.95057664217663
"sorted_array",262144,2.38774093739791,2.30108939742626,2.42023302596779
"sorted_array",524288,1.61651778896301,1.53965418071163,1.67730107482938
"sorted_array",1048576,1.64625667110706,1.56916898455088,1.68960456980158
"sorted_array",2097152,1.08445022925181,1.04026019573532,1.21105953209628
"sorted_array",4194304,0.669601569061474,0.654289323973147,0.695570108795805
"sorted_array",8388608,0.589594653941319,0.576932005393981,0.600672848885006
"sorted_array",16777216,0.491378320879362,0.472029354255778,0.523435353590857
"sorted_array",33554432,0.435985417337577,0.424354826051341,0.453069728569339
