structure,n,levels_mean,levels_modal_share,lines_per_query,bytes_per_query,l0_mpq,l1_mpq,l2_mpq,l3_mpq,stlb_mpq
fusion8_c,8192,4.393,0.6068,8.79,169.8,2.244,0.421,0.000,0.000,0.000
fusion16_w,8192,3.801,0.8013,15.82,232.5,5.420,2.259,0.000,0.000,0.000
sorted_array,16384,0.000,1.0000,11.00,128.0,5.630,0.000,0.000,0.000,0.000
btree8,16384,5.000,1.0000,10.76,240.7,4.175,1.952,0.000,0.000,0.000
btree8_bl,16384,5.000,1.0000,11.26,394.0,4.795,2.620,0.000,0.000,0.000
btree8_a64,16384,5.000,1.0000,10.00,240.7,3.792,2.212,0.000,0.000,0.000
btree8_bl_a64,16384,5.000,1.0000,10.00,394.0,3.792,2.212,0.000,0.000,0.000
btree16_bl_a64,16384,4.000,1.0000,14.81,572.1,5.459,3.070,0.000,0.000,0.000
fusion8,16384,5.000,1.0000,16.69,301.0,7.555,4.542,0.000,0.000,0.000
fusion8_bf,16384,5.000,1.0000,16.69,301.0,7.555,4.542,0.000,0.000,0.000
fusion8_c,16384,5.000,1.0000,10.00,191.0,3.792,2.212,0.000,0.000,0.000
fusion16_w,16384,4.000,1.0000,16.42,244.0,6.305,3.351,0.000,0.000,0.000
sorted_array,32768,0.000,1.0000,12.00,136.0,8.188,2.170,0.000,0.000,0.000
btree8,32768,5.000,1.0000,10.92,254.2,4.407,2.256,0.000,0.000,0.000
btree8_bl,32768,5.000,1.0000,11.27,395.8,4.838,2.715,0.000,0.000,0.000
btree8_a64,32768,5.000,1.0000,10.00,254.2,3.816,2.273,0.000,0.000,0.000
btree8_bl_a64,32768,5.000,1.0000,10.00,395.8,3.816,2.273,0.000,0.000,0.000
btree16_bl_a64,32768,4.000,1.0000,14.82,573.3,5.479,3.135,0.000,0.000,0.000
fusion8,32768,5.000,1.0000,16.91,301.0,7.834,4.895,0.000,0.000,0.000
fusion8_bf,32768,5.000,1.0000,16.91,301.0,7.834,4.895,0.000,0.000,0.000
fusion8_c,32768,5.000,1.0000,10.00,191.0,3.816,2.273,0.000,0.000,0.000
fusion16_w,32768,4.000,1.0000,16.88,244.0,6.858,4.022,0.000,0.000,0.000
sorted_array,65536,0.000,1.0000,13.00,144.0,10.283,6.307,0.000,0.000,0.000
btree8,65536,5.201,0.7993,11.94,275.8,5.199,3.345,0.000,0.000,0.000
btree8_bl,65536,5.201,0.7993,12.04,414.4,5.325,3.479,0.000,0.000,0.000
btree8_a64,65536,5.201,0.7993,10.40,275.8,4.315,2.819,0.000,0.000,0.000
btree8_bl_a64,65536,5.201,0.7993,10.40,414.4,4.315,2.819,0.000,0.000,0.000
btree16_bl_a64,65536,4.000,1.0000,14.82,574.0,5.495,3.172,0.000,0.000,0.000
fusion8,65536,5.201,0.7993,17.30,316.4,8.546,5.880,0.000,0.000,0.000
fusion8_bf,65536,5.201,0.7993,17.30,316.4,8.546,5.880,0.000,0.000,0.000
fusion8_c,65536,5.201,0.7993,10.40,202.0,4.315,2.819,0.000,0.000,0.000
fusion16_w,65536,4.000,1.0000,17.14,244.0,7.184,4.391,0.000,0.000,0.000
sorted_array,131072,0.000,1.0000,14.00,152.0,11.705,9.039,0.000,0.000,0.000
btree8,131072,6.000,1.0000,13.62,294.3,7.154,5.380,0.813,0.000,0.000
btree8_bl,131072,6.000,1.0000,14.12,473.6,7.733,5.969,1.431,0.000,0.000
btree8_a64,131072,6.000,1.0000,12.00,294.3,6.219,4.812,1.282,0.000,0.016
btree8_bl_a64,131072,6.000,1.0000,12.00,473.6,6.219,4.812,1.282,0.000,0.016
btree16_bl_a64,131072,4.722,0.7216,17.91,676.8,9.557,7.062,2.132,0.000,0.474
fusion8,131072,6.000,1.0000,20.04,362.0,11.701,9.094,2.897,0.000,0.428
fusion8_bf,131072,6.000,1.0000,20.04,362.0,11.701,9.094,2.897,0.000,0.428
fusion8_c,131072,6.000,1.0000,12.00,230.0,6.219,4.812,1.282,0.000,0.016
fusion16_w,131072,4.722,0.7216,20.03,289.9,10.555,8.077,2.096,0.000,0.672
sorted_array,262144,0.000,1.0000,15.00,160.0,12.854,11.072,0.000,0.000,0.000
btree8,262144,6.000,1.0000,13.78,307.2,7.337,5.569,1.121,0.000,0.000
btree8_bl,262144,6.000,1.0000,14.13,475.6,7.753,5.994,1.558,0.000,0.000
btree8_a64,262144,6.000,1.0000,12.00,307.2,6.218,4.811,1.394,0.000,0.016
btree8_bl_a64,262144,6.000,1.0000,12.00,475.6,6.218,4.811,1.394,0.000,0.016
btree16_bl_a64,262144,5.000,1.0000,18.75,716.4,10.220,8.008,3.162,0.000,1.020
fusion8,262144,6.000,1.0000,20.25,362.0,11.940,9.367,3.310,0.000,0.428
fusion8_bf,262144,6.000,1.0000,20.25,362.0,11.940,9.367,3.310,0.000,0.428
fusion8_c,262144,6.000,1.0000,12.00,230.0,6.218,4.811,1.394,0.000,0.016
fusion16_w,262144,5.000,1.0000,20.89,306.0,11.309,9.475,3.304,0.000,1.213
sorted_array,524288,0.000,1.0000,16.00,168.0,13.929,12.688,3.266,0.000,0.000
btree8,524288,6.000,1.0000,13.99,327.4,7.581,5.830,1.448,0.000,0.000
btree8_bl,524288,6.000,1.0000,14.16,476.7,7.776,6.028,1.631,0.000,0.000
btree8_a64,524288,6.000,1.0000,12.00,327.4,6.220,4.811,1.456,0.000,0.015
btree8_bl_a64,524288,6.000,1.0000,12.00,476.7,6.220,4.811,1.456,0.000,0.015
btree16_bl_a64,524288,5.000,1.0000,18.76,717.8,10.238,8.032,3.217,0.000,1.028
fusion8,524288,6.000,1.0000,20.44,362.0,12.136,9.566,3.603,0.000,0.426
fusion8_bf,524288,6.000,1.0000,20.44,362.0,12.136,9.566,3.603,0.000,0.426
fusion8_c,524288,6.000,1.0000,12.00,230.0,6.220,4.811,1.456,0.000,0.015
fusion16_w,524288,5.000,1.0000,21.31,306.0,11.772,10.000,3.922,0.000,1.218
sorted_array,1048576,0.000,1.0000,17.00,176.0,14.966,14.067,9.340,0.000,0.000
btree8,1048576,6.987,0.9871,15.99,348.3,10.536,8.346,4.528,0.001,1.845
btree8_bl,1048576,6.987,0.9871,16.48,552.7,11.068,8.910,5.137,0.007,1.845
