"compiler","mode","order","comparison","a","b","b_lo","b_hi","ratio_at_max_n","crossover_log2n","first_n_below_1_every_session"
"gcc","lat","blocked","branch-free rank vs original rank",1.17331838444769,-0.00566247008060376,-0.00707229682808903,-0.00425264333311849,1.04027634475132,30.6082649410154,NA
"gcc","tput","blocked","branch-free rank vs original rank",1.13332899193702,-0.00433477121687521,-0.0070597293320022,-0.00160981310174821,1.0329395361808,30.7580228035963,NA
"clang","lat","shuffled","branch-free rank vs original rank",1.08619509865185,-0.00332040823774555,-0.00452438761914899,-0.00211642885634211,0.990782020723732,NA,262144
"gcc","lat","shuffled","branch-free rank vs original rank",1.16044048234567,-0.0053443109183752,-0.00677312285270217,-0.00391549898404822,1.04694526121333,30.0207987140185,NA
"clang","tput","shuffled","branch-free rank vs original rank",1.04646942964983,-0.00208610068724077,-0.00359429688225809,-0.000577904492223447,1.00565408975657,22.2757367053505,16384
"gcc","tput","shuffled","branch-free rank vs original rank",1.13761130351909,-0.00509621863972175,-0.00683431891302795,-0.00335811836641554,1.02911287955669,27.0026294489218,NA
"gcc","lat","blocked","compact 128-B node vs 184-B node",1.07687622668589,-0.00906690181680982,-0.0114316760630835,-0.00670212757053615,0.878935686540128,NA,256
"gcc","tput","blocked","compact 128-B node vs 184-B node",1.12830180788968,-0.0114528844304434,-0.0161660297359899,-0.00673973912489687,0.860279875440427,NA,8192
"clang","lat","shuffled","compact 128-B node vs 184-B node",1.00465836942363,-0.0050911338640694,-0.00697987886873302,-0.00320238885940578,0.916603511252515,NA,256
"gcc","lat","shuffled","compact 128-B node vs 184-B node",1.02250610389002,-0.00565421635290875,-0.00667977241785072,-0.00462866028796678,0.883918692859784,NA,256
"clang","tput","shuffled","compact 128-B node vs 184-B node",0.99103919836475,-0.00387572726919539,-0.0053355293233252,-0.00241592521506559,0.933207265852025,NA,256
"gcc","tput","shuffled","compact 128-B node vs 184-B node",1.04444487628306,-0.00565260188846486,-0.00695424863458957,-0.00435095514234015,0.896348910355017,NA,256
"gcc","lat","blocked","equal footprint: compact fusion vs aligned B-tree",2.86437169667303,-0.0562405213970813,-0.0666130937378526,-0.04586794905631,1.23801655017606,33.1499717705281,NA
"gcc","tput","blocked","equal footprint: compact fusion vs aligned B-tree",4.03691975038111,-0.0295587931611154,-0.065319443123309,0.00620185680107828,3.38375258685569,NA,NA
"clang","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",2.53017338407177,-0.0567796959700935,-0.0626715886481878,-0.0508878032919993,1.16345808379833,26.9493056968415,NA
"gcc","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",2.96569532366324,-0.0744236336116635,-0.082695384863735,-0.066151882359592,1.17895943535328,26.4122460604394,NA
"clang","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",2.7473332134417,0.0325649347213925,0.00777199551106444,0.0573578739317205,3.68436972529324,NA,NA
"gcc","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",4.30495465050185,-0.0715536453021625,-0.0994349851117273,-0.0436723054925977,2.82778587502155,46.1884874843961,NA
"gcc","lat","blocked","Exp 4: 16-key fusion vs 16-key B-tree",3.74484398781285,-0.101310422639383,-0.11291551770736,-0.0897053275714056,1.21766052895937,27.0934018070697,NA
"gcc","tput","blocked","Exp 4: 16-key fusion vs 16-key B-tree",6.46670163502194,-0.165357106467948,-0.216774714953599,-0.113939497982296,2.34390692894213,33.0599739665957,NA
"clang","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",3.36871427925789,-0.0919789415690567,-0.102799092323454,-0.0811587908146597,1.27977617831677,25.7527890498662,NA
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",3.71516950063736,-0.107734897114738,-0.119178969707324,-0.0962908245221513,1.22261104904494,25.2023213773129,NA
"clang","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",5.22532005200682,-0.10496646971911,-0.149928813545519,-0.0600041258927015,3.01377825850464,40.2539979034615,NA
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",6.10683694901991,-0.163124920846664,-0.209269009514388,-0.116980832178941,2.32888728852439,31.306295338039,NA
"gcc","lat","blocked","Exp 4: 16-key fusion vs 8-key fusion",1.11765342501274,-0.0095408826598334,-0.0167185504758777,-0.0023632148437891,0.987972555360731,NA,256
"gcc","tput","blocked","Exp 4: 16-key fusion vs 8-key fusion",1.09992234995379,-0.0130506301852342,-0.022597892049712,-0.00350336832075643,0.877761420007205,NA,256
"clang","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1.07719127009987,-0.00588811863283834,-0.013290856475194,0.00151461920951732,1.10181446456133,NA,256
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1.08559631416023,-0.0075486125542156,-0.0145659343591485,-0.000531290749282718,1.01034722870302,11.3393439583053,256
"clang","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",0.926027544631547,-0.00290295475309599,-0.0113664860154042,0.00556057650921217,1.08313058603787,NA,256
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",1.00102293393599,-0.00740614285862837,-0.0155546501818771,0.000742364464620374,0.992704048913606,NA,256
"gcc","lat","blocked","Exp 4: 16-key fusion vs best B-tree",3.56432729990953,-0.0802017847949419,-0.0952266429194534,-0.0651769266704304,1.41327485410121,31.9734443125667,NA
"gcc","tput","blocked","Exp 4: 16-key fusion vs best B-tree",6.63747044658585,-0.139745964089557,-0.186819362310892,-0.0926725658682218,3.45408954326092,40.3408462155876,NA
"clang","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",3.29071376370899,-0.0792420522515843,-0.0908143060427492,-0.0676697984604194,1.42658661292635,28.9078046140985,NA
"gcc","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",3.68642828274405,-0.0986162898381243,-0.109158006668511,-0.0880745730077379,1.35417583596471,27.2412223898683,NA
"clang","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",5.33944301276565,-0.0835465146250582,-0.123179007006657,-0.043914022243459,4.29771638114674,51.9404433834289,NA
"gcc","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",6.63167533342339,-0.173096954113477,-0.208796105166384,-0.13739780306057,3.16284491445591,32.5348031816403,NA
"gcc","lat","blocked","original fusion vs binary search",4.82620833856668,-0.175767635572737,-0.19022316461039,-0.161312106535085,0.383407809181017,NA,4194304
"gcc","tput","blocked","original fusion vs binary search",12.113411846018,-0.469128251165464,-0.500905932532089,-0.437350569798839,0.71705090287225,NA,16777216
"clang","lat","shuffled","original fusion vs binary search",2.06520810147359,-0.0364349624564634,-0.059271764563688,-0.0135981603492388,0.587106954570919,NA,16777216
"gcc","lat","shuffled","original fusion vs binary search",4.96724104628306,-0.178515746991634,-0.195744482535227,-0.16128701144804,0.40906393441932,NA,4194304
"clang","tput","shuffled","original fusion vs binary search",1.75767866985301,-0.0233483892866698,-0.0403834033751156,-0.00631337519822411,0.721837473412204,NA,16777216
"gcc","tput","shuffled","original fusion vs binary search",12.4465691740537,-0.478510732203896,-0.510458685976535,-0.446562778431257,0.79699385927762,NA,16777216
