"compiler","mode","order","structure","n","median_ns","min_ns","max_ns","sessions"
"gcc","lat","shuffled","btree8_bl",2048,36.1984,36.1176,36.232,3
"clang","tput","shuffled","btree8_bl",2048,24.8245,24.6735,24.8566,3
"gcc","tput","shuffled","btree8_bl",2048,24.4553,24.2035,24.5773,3
"gcc","lat","blocked","btree8_bl_a64",2048,33.0154,32.9361,33.0582,3
"gcc","tput","blocked","btree8_bl_a64",2048,23.0988,22.7615,23.1537,3
"clang","lat","shuffled","btree8_bl_a64",2048,37.117,36.3647,37.1368,3
"gcc","lat","shuffled","btree8_bl_a64",2048,33.371,33.3115,33.4625,3
"clang","tput","shuffled","btree8_bl_a64",2048,23.0652,22.8882,23.1186,3
"gcc","tput","shuffled","btree8_bl_a64",2048,23.3398,23.085,23.5062,3
"gcc","lat","blocked","fusion16_w",2048,58.8608,58.8028,58.9081,3
"gcc","tput","blocked","fusion16_w",2048,49.2233,49.1165,84.6878,3
"clang","lat","shuffled","fusion16_w",2048,58.2779,57.2998,58.493,3
"gcc","lat","shuffled","fusion16_w",2048,59.2102,59.198,59.2834,3
"clang","tput","shuffled","fusion16_w",2048,47.8455,47.0871,48.2193,3
"gcc","tput","shuffled","fusion16_w",2048,50.7401,50.6042,50.795,3
"gcc","lat","blocked","fusion8",2048,54.3365,54.1153,54.364,3
"gcc","tput","blocked","fusion8",2048,51.0132,50.9811,54.6829,3
"clang","lat","shuffled","fusion8",2048,57.2266,56.5887,57.579,3
"gcc","lat","shuffled","fusion8",2048,55.6854,54.9744,55.7083,3
"clang","tput","shuffled","fusion8",2048,54.0359,53.389,54.3991,3
"gcc","tput","shuffled","fusion8",2048,52.1378,51.4221,53.0579,3
"gcc","lat","blocked","fusion8_bf",2048,59.111,58.6868,59.1644,3
"gcc","tput","blocked","fusion8_bf",2048,54.364,53.36,55.0308,3
"clang","lat","shuffled","fusion8_bf",2048,60.1578,58.812,60.2631,3
"gcc","lat","shuffled","fusion8_bf",2048,59.9289,59.9091,61.1343,3
"clang","tput","shuffled","fusion8_bf",2048,55.162,54.1962,55.661,3
"gcc","tput","shuffled","fusion8_bf",2048,54.9606,53.6957,55.5664,3
"gcc","lat","blocked","fusion8_c",2048,57.8812,57.872,57.9208,3
"gcc","tput","blocked","fusion8_c",2048,52.2095,51.5701,61.1374,3
"clang","lat","shuffled","fusion8_c",2048,57.5027,56.3675,57.7652,3
"gcc","lat","shuffled","fusion8_c",2048,57.7225,57.3044,58.0261,3
"clang","tput","shuffled","fusion8_c",2048,52.4673,51.651,52.8946,3
"gcc","tput","shuffled","fusion8_c",2048,52.0844,51.8494,52.6566,3
"gcc","lat","blocked","sorted_array",2048,17.1936,17.1875,17.2012,3
"gcc","tput","blocked","sorted_array",2048,6.5201,6.5125,6.5475,3
"clang","lat","shuffled","sorted_array",2048,39.7247,38.9221,39.9338,3
"gcc","lat","shuffled","sorted_array",2048,17.2165,17.2028,17.2302,3
"clang","tput","shuffled","sorted_array",2048,39.6179,38.7817,39.8926,3
"gcc","tput","shuffled","sorted_array",2048,6.5277,6.4987,6.5567,3
"gcc","lat","blocked","btree16_bl_a64",4096,26.0117,25.7431,26.0559,3
"gcc","tput","blocked","btree16_bl_a64",4096,21.3257,20.8984,21.3409,3
"clang","lat","shuffled","btree16_bl_a64",4096,31.2119,30.6076,31.2195,3
"gcc","lat","shuffled","btree16_bl_a64",4096,26.1276,26.1215,26.1536,3
"clang","tput","shuffled","btree16_bl_a64",4096,11.5326,11.203,11.554,3
"gcc","tput","shuffled","btree16_bl_a64",4096,21.3867,20.9427,21.4249,3
"gcc","lat","blocked","btree8",4096,33.3832,33.2352,33.4015,3
"gcc","tput","blocked","btree8",4096,34.0698,33.1833,35.7697,3
"clang","lat","shuffled","btree8",4096,35.9283,35.405,36.5097,3
"gcc","lat","shuffled","btree8",4096,33.6533,33.5678,33.7189,3
"clang","tput","shuffled","btree8",4096,35.8109,35.6277,36.5417,3
"gcc","tput","shuffled","btree8",4096,34.4803,33.9661,34.6756,3
"gcc","lat","blocked","btree8_a64",4096,32.8369,32.3853,32.8537,3
"gcc","tput","blocked","btree8_a64",4096,32.2876,31.6742,40.8508,3
"clang","lat","shuffled","btree8_a64",4096,34.1064,34.0118,34.2789,3
"gcc","lat","shuffled","btree8_a64",4096,33.4015,33.313,33.4534,3
"clang","tput","shuffled","btree8_a64",4096,36.3647,36.1191,36.853,3
"gcc","tput","shuffled","btree8_a64",4096,33.0902,32.7682,33.6914,3
"gcc","lat","blocked","btree8_bl",4096,35.437,35.4324,35.4553,3
"gcc","tput","blocked","btree8_bl",4096,22.9904,22.5739,23.0347,3
"clang","lat","shuffled","btree8_bl",4096,39.2487,38.5117,39.3005,3
"gcc","lat","shuffled","btree8_bl",4096,35.6888,35.6827,35.7162,3
