"compiler","mode","order","structure","n","median_ns","min_ns","max_ns","sessions"
"gcc","lat","blocked","btree16_bl_a64",256,13.6246,13.6185,14.0167,3
"gcc","tput","blocked","btree16_bl_a64",256,4.3472,4.0543,4.5898,3
"clang","lat","shuffled","btree16_bl_a64",256,15.0467,14.7354,15.2313,3
"gcc","lat","shuffled","btree16_bl_a64",256,13.6902,13.6765,14.1006,3
"clang","tput","shuffled","btree16_bl_a64",256,4.7684,4.5242,5.1285,3
"gcc","tput","shuffled","btree16_bl_a64",256,4.6387,4.4724,5.0018,3
"gcc","lat","blocked","btree8",256,20.3995,20.0821,20.9579,3
"gcc","tput","blocked","btree8",256,20.5475,20.0409,21.2936,3
"clang","lat","shuffled","btree8",256,22.258,21.6843,23.9578,3
"gcc","lat","shuffled","btree8",256,20.5368,20.2866,21.3593,3
"clang","tput","shuffled","btree8",256,21.4645,20.5933,21.7026,3
"gcc","tput","shuffled","btree8",256,20.8939,20.4071,21.4203,3
"gcc","lat","blocked","btree8_a64",256,19.4336,19.1559,19.9997,3
"gcc","tput","blocked","btree8_a64",256,18.9377,18.895,19.6091,3
"clang","lat","shuffled","btree8_a64",256,21.9772,21.3837,22.6425,3
"gcc","lat","shuffled","btree8_a64",256,19.6396,19.4168,20.4834,3
"clang","tput","shuffled","btree8_a64",256,20.343,19.9417,20.9198,3
"gcc","tput","shuffled","btree8_a64",256,19.7083,19.0735,20.0836,3
"gcc","lat","blocked","btree8_bl",256,21.4111,20.9915,21.7392,3
"gcc","tput","blocked","btree8_bl",256,12.9456,11.9949,12.9837,3
"clang","lat","shuffled","btree8_bl",256,23.8922,23.822,25.0763,3
"gcc","lat","shuffled","btree8_bl",256,21.8582,21.1807,22.168,3
"clang","tput","shuffled","btree8_bl",256,14.4211,13.4872,14.7308,3
"gcc","tput","shuffled","btree8_bl",256,13.1424,12.175,13.3286,3
"gcc","lat","blocked","btree8_bl_a64",256,19.7632,19.4077,20.137,3
"gcc","tput","blocked","btree8_bl_a64",256,11.2991,10.6262,11.6623,3
"clang","lat","shuffled","btree8_bl_a64",256,22.2137,22.1985,22.6074,3
"gcc","lat","shuffled","btree8_bl_a64",256,19.8639,19.5648,20.2682,3
"clang","tput","shuffled","btree8_bl_a64",256,13.3255,12.5946,13.3545,3
"gcc","tput","shuffled","btree8_bl_a64",256,11.6074,10.8887,11.8408,3
"gcc","lat","blocked","fusion16_w",256,37.5534,37.0056,38.3896,3
"gcc","tput","blocked","fusion16_w",256,26.6006,25.531,27.5421,3
"clang","lat","shuffled","fusion16_w",256,38.3026,36.9888,38.3575,3
"gcc","lat","shuffled","fusion16_w",256,37.7121,37.0529,38.4293,3
"clang","tput","shuffled","fusion16_w",256,26.4999,25.3784,26.6479,3
"gcc","tput","shuffled","fusion16_w",256,27.1042,26.21,27.7557,3
"gcc","lat","blocked","fusion8",256,38.4155,38.3835,39.4592,3
"gcc","tput","blocked","fusion8",256,34.053,33.3572,35.5637,3
"clang","lat","shuffled","fusion8",256,40.7059,39.9445,40.9271,3
"gcc","lat","shuffled","fusion8",256,39.1052,38.8992,40.155,3
"clang","tput","shuffled","fusion8",256,36.8149,36.7783,37.4344,3
"gcc","tput","shuffled","fusion8",256,34.7565,34.1537,35.9665,3
"gcc","lat","blocked","fusion8_bf",256,42.5354,41.5817,43.0435,3
"gcc","tput","blocked","fusion8_bf",256,36.5509,35.5835,37.5198,3
"clang","lat","shuffled","fusion8_bf",256,43.3075,42.363,43.9468,3
"gcc","lat","shuffled","fusion8_bf",256,43.3167,41.9617,43.396,3
"clang","tput","shuffled","fusion8_bf",256,38.0264,36.6348,38.0692,3
"gcc","tput","shuffled","fusion8_bf",256,37.3703,35.7727,37.5793,3
"gcc","lat","blocked","fusion8_c",256,41.5421,40.3458,41.7755,3
"gcc","tput","blocked","fusion8_c",256,36.9431,35.4034,37.4527,3
"clang","lat","shuffled","fusion8_c",256,41.069,41.0477,41.7053,3
"gcc","lat","shuffled","fusion8_c",256,41.5085,40.6372,41.9403,3
"clang","tput","shuffled","fusion8_c",256,36.3144,35.3088,36.6409,3
"gcc","tput","shuffled","fusion8_c",256,37.2131,35.0769,37.2879,3
"gcc","lat","blocked","sorted_array",256,12.8006,12.7655,13.089,3
"gcc","tput","blocked","sorted_array",256,4.3198,4.2953,4.4739,3
"clang","lat","shuffled","sorted_array",256,22.5769,22.2702,23.6206,3
"gcc","lat","shuffled","sorted_array",256,12.7762,12.7563,13.0798,3
"clang","tput","shuffled","sorted_array",256,22.6791,22.4304,23.5977,3
"gcc","tput","shuffled","sorted_array",256,4.3411,4.2709,4.4815,3
"gcc","lat","blocked","btree16_bl_a64",512,20.1889,19.957,20.3918,3
"gcc","tput","blocked","btree16_bl_a64",512,14.1174,13.9511,14.1876,3
"clang","lat","shuffled","btree16_bl_a64",512,21.9193,21.6187,22.58,3
"gcc","lat","shuffled","btree16_bl_a64",512,20.5215,20.2454,20.7977,3
"clang","tput","shuffled","btree16_bl_a64",512,15.7074,15.6616,15.7913,3
"gcc","tput","shuffled","btree16_bl_a64",512,14.6133,14.5905,14.8483,3
"gcc","lat","blocked","btree8",512,23.1552,22.9462,23.6267,3
"gcc","tput","blocked","btree8",512,23.5077,23.0637,23.7076,3
"clang","lat","shuffled","btree8",512,25.5417,25.5051,26.4267,3
"gcc","lat","shuffled","btree8",512,23.6954,23.381,24.0387,3
"clang","tput","shuffled","btree8",512,23.9212,23.8129,24.0677,3
"gcc","tput","shuffled","btree8",512,24.0021,23.7457,24.3164,3
"gcc","lat","blocked","btree8_a64",512,21.8353,21.5576,22.1512,3
"gcc","tput","blocked","btree8_a64",512,21.9208,21.8018,22.1161,3
"clang","lat","shuffled","btree8_a64",512,24.8352,24.5789,25.2182,3
"gcc","lat","shuffled","btree8_a64",512,22.3801,22.226,22.5662,3
"clang","tput","shuffled","btree8_a64",512,22.7158,22.6364,22.8317,3
"gcc","tput","shuffled","btree8_a64",512,22.789,22.2168,22.8714,3
"gcc","lat","blocked","btree8_bl",512,21.4142,21.3562,21.7865,3
"gcc","tput","blocked","btree8_bl",512,8.58,8.371,8.7494,3
"clang","lat","shuffled","btree8_bl",512,23.143,22.6929,23.2224,3
"gcc","lat","shuffled","btree8_bl",512,21.5317,21.3943,21.756,3
"clang","tput","shuffled","btree8_bl",512,9.6008,9.5383,9.9213,3
"gcc","tput","shuffled","btree8_bl",512,8.8058,8.7814,9.0363,3
"gcc","lat","blocked","btree8_bl_a64",512,19.0521,18.9957,19.3741,3
"gcc","tput","blocked","btree8_bl_a64",512,7.8247,7.7255,8.049,3
"clang","lat","shuffled","btree8_bl_a64",512,21.6263,21.2341,21.6965,3
"gcc","lat","shuffled","btree8_bl_a64",512,19.1925,19.1284,19.4366,3
"clang","tput","shuffled","btree8_bl_a64",512,8.902,8.757,9.2697,3
"gcc","tput","shuffled","btree8_bl_a64",512,7.9453,7.8857,8.1421,3
"gcc","lat","blocked","fusion16_w",512,50.5554,50.4562,50.8179,3
"gcc","tput","blocked","fusion16_w",512,41.3055,41.217,41.8839,3
"clang","lat","shuffled","fusion16_w",512,50.3464,50.0946,51.4526,3
